epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,18091.7,0.20166,0.17046,0.80463,0.99999,1,0.995,0.995,0.08841,0.08519,0.72328,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,18247.9,0.1994,0.16642,0.80199,0.99999,1,0.995,0.995,0.08673,0.08411,0.72297,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,18402.8,0.19649,0.16628,0.80253,0.99999,1,0.995,0.995,0.08628,0.08275,0.72304,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,18559.3,0.19848,0.16603,0.80406,0.99999,1,0.995,0.995,inf,0.08116,0.72306,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,18715.7,0.19971,0.16701,0.80211,0.99999,1,0.995,0.995,0.08102,0.07983,0.72316,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,18871.3,0.19333,0.16044,0.80234,0.99999,1,0.995,0.995,inf,0.08134,0.72343,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,19026.5,0.19379,0.16403,0.80125,0.99999,1,0.995,0.995,0.0883,0.08082,0.72323,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,19182.1,0.19064,0.16174,0.80166,0.99999,1,0.995,0.995,0.0869,0.08184,0.72298,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,19337.8,0.19293,0.16165,0.80112,0.99999,1,0.995,0.995,0.08914,0.08203,0.72286,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,19493.2,0.19254,0.1624,0.80199,0.99999,1,0.995,0.995,0.08554,0.07978,0.72266,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,19649,0.1901,0.15951,0.80171,0.99999,1,0.995,0.995,0.08132,0.0778,0.72245,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,19804.2,0.18525,0.15635,0.80149,0.99999,1,0.995,0.995,0.08314,0.07865,0.72249,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,19959.9,0.18721,0.15608,0.80085,0.99999,1,0.995,0.995,0.07956,0.07728,0.72231,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,20114.9,0.18477,0.15576,0.8025,0.99999,1,0.995,0.995,0.08178,0.07842,0.7224,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,20271.4,0.18395,0.15569,0.80214,0.99999,1,0.995,0.995,0.0836,0.07957,0.72237,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,20427.2,0.18295,0.15475,0.79992,0.99999,1,0.995,0.995,0.08452,0.07902,0.72239,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,20582.3,0.18265,0.15534,0.8015,0.99999,1,0.995,0.995,0.08581,0.08038,0.72245,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,20738,0.18083,0.15275,0.80026,0.99999,1,0.995,0.995,0.0846,0.08096,0.7225,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,20893.7,0.18011,0.15406,0.79949,0.99999,1,0.995,0.995,0.08259,0.08109,0.72262,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,21049.2,0.17815,0.15021,0.80122,0.99999,1,0.995,0.995,0.08105,0.07899,0.72243,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,21205.6,0.179,0.15215,0.80083,0.99999,1,0.995,0.995,0.08011,0.07825,0.72233,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,21362.9,0.1774,0.15013,0.79879,0.99999,1,0.995,0.995,0.07713,0.0771,0.7222,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,21518.7,0.17452,0.14835,0.79844,0.99999,1,0.995,0.995,0.076,0.0757,0.7222,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,21674.7,0.17718,0.14962,0.79802,0.99999,1,0.995,0.995,0.07571,0.07596,0.72224,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,21830.2,0.17207,0.14601,0.79901,0.99999,1,0.995,0.995,0.07379,0.07423,0.72219,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,21986.1,0.17266,0.1466,0.79941,0.99999,1,0.995,0.995,0.07348,0.07404,0.72219,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,22142.3,0.17107,0.14654,0.79958,0.99999,1,0.995,0.995,0.07494,0.07418,0.72219,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
